S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
18-15,4428,4428.6,19.88,1.91,9.08,2.79,1.7,29.5,0
18-17,4430.5,4431,0.99,0.8,<.01,2.78,2.3,24.6,0
18-19,4432.75,4433,0.37,0.19,2.8,2.81,2.6,23.8,0
18-21,4434.5,4435,17.23,13.66,0.01,2.81,2,50.8,0
18-23,4436.6,4437,0.02,0.02,<.01,2.82,1.6,15.7,0
18-25,4438.4,4439,14.7,13.55,<.01,2.74,1.5,70.7,0
18-27,4440.45,4440.8,6.38,4.48,2.35,2.82,4,24.1,0
18-29,4442.65,4443,12.57,6.32,<.01,2.82,2.9,34.1,0
18-30,4443.9,4444.5,185.99,oneway,293.49,2.82,4.7,39.2,0
18-33,4446.1,4446.5,3.3,1.54,0.01,2.81,5.3,38.2,0
18-35,4448,4448.5,2.46,1.84,0.01,2.8,5.3,22.1,0
18-37,4450,4450.5,7.52,6.97,<.01,2.83,2.9,18.1,0
18-39,4452,4452.55,0.96,0.94,0.01,2.79,9.7,42.9,0
18-41,4454,4454.4,0.19,0.18,<.01,2.8,5,24.4,0
18-43,4456.4,4456.6,0.15,0.11,<.01,2.68,7.4,49.7,0
18-45,4458,4458.6,0.07,0.06,<.01,2.76,6.5,56.5,0
18-47,4460.9,4461.4,4.56,0.14,0.01,2.81,2.1,40.7,0
18-49,4462.4,4463,0.16,0.09,<.01,2.81,3.6,20.9,0
19-1,4464.4,4465,3.04,0.29,<.01,2.82,2.7,6.1,0
19-3,4466,4466.55,46.93,12.63,11.34,2.82,2.4,27.9,0
19-5,4468.4,4469,4.72,0.49,0.04,2.82,1.6,42,0
19-7,4470.6,4471,1.63,0.94,<.01,2.8,3.2,13,0
19-9,4472,4472.5,223.55,67.83,4.46,2.81,3.3,30.3,0
19-11,4474.45,4475,202.61,196.35,<.01,2.81,5.3,34.5,0
19-13,4476.4,4477,7.35,4.24,<.01,2.82,4.8,10.9,0
19-15,4478,4478.6,38.15,2.68,<.01,2.83,1.7,14.8,0
19-19,4482.25,4482.55,0.65,0.56,<.01,2.81,2.2,37.6,0
19-21,4484.5,4485,4.99,3.9,<.01,2.81,3.1,23.4,0
19-23,4486,4486.45,206.69,4.36,3.99,2.77,1.2,50.4,0
19-25,4488.3,4488.75,4.44,2.08,3.25,2.82,1,24.7,0
19-28,4491.2,4491.55,1.02,0.01,4.6,2.79,0.8,25.2,0
19-31,4494.6,4495,1.11,0.17,2.5,2.82,0.9,21.8,0
19-33,4496.2,4496.75,14.49,5.08,0.01,2.83,2.9,26.1,0
19-37,4500.1,4500.6,3.95,0.16,0.01,2.82,1,25.7,0
19-39,4502,4502.5,38.76,3.71,16.35,2.83,2.1,25,0
19-40,4503,4503.5,40.51,12.22,<.01,2.81,8.1,35.4,0
19-41,4504.1,4504.75,8.09,6.21,11.3,2.81,3,60.3,0
19-43,4506.4,4507,4.44,1.24,<.01,2.76,0.7,49.7,0
19-44,4507.25,4507.75,5.08,2.41,0.53,2.81,1.8,56.4,0
19-45,4508.4,4508.8,19.53,4.07,11,2.78,1.7,27.9,0
19-47,4510,4510.5,12.16,9.34,1.45,2.78,4.5,27.8,0
19-49,4512.2,4512.4,0.03,0.01,<.01,2.78,0.8,35.4,0
19-51,4514.4,4514.95,0.24,0.11,<.01,2.79,3.9,34.5,0
19-55,4518.4,4518.9,0.04,0.02,<.01,2.83,1.9,33.7,0
20-2,4522.25,4523,36.52,32.13,8.63,2.81,1.8,33.3,0
20-4,4524.65,4525,2.08,0.02,2.32,2.82,1,27.3,0
20-6,4526.2,4526.8,0.23,0.12,<.01,2.82,0.8,32,0
20-14,4534,4534.55,1.7,0.76,<.01,2.82,2.4,55.5,0
20-16,4536,4536.45,0.2,0.07,<.01,2.82,0.5,53.9,0
20-18,4538,4538.6,20.3,11.69,22.9,2.82,1.1,25.2,0
20-20,4540.75,4541,0.28,0.01,1.32,2.82,2.4,41.3,0
20-22,4542.6,4543.1,2.88,0.29,1.37,2.81,3.1,28.2,0
20-30,4550.5,4550.8,2.95,2.05,0.16,2.82,1.6,10.2,0
20-31,4551,4551.65,2.74,0.56,4.37,2.8,0.8,31.1,0
20-32,4552,4552.8,79.41,18.22,<.01,2.82,1,11,0
20-34,4554.4,4555,0.07,0.01,<.01,2.81,1,20.5,0
20-35,4555.15,4556,171.3,2.99,5.06,2.81,1.3,34.4,0
20-37,4557.25,4557.65,78.44,3.57,297.16,2.81,1.7,15.5,0
20-38,4558.4,4558.7,0.93,0.22,1.42,2.82,0.7,25.5,0
20-40,4560,4560.35,4.7,0.53,27.71,2.82,0.8,47.1,0
