S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
28-47,4794.15,4794.65,82.5,79.09,103.6,2.82,15.3,8.4,0
29-2,4800.45,4801,0.77,0.3,<.01,2.79,5.3,54.8,0
29-4,4802.55,4803,2.33,0.5,5.61,2.77,4,21.3,0
29-6,4804.1,4804.6,0.09,0.06,<.01,2.78,4.4,52.8,0
29-8,4806.7,4807,73.2,0.14,6.86,2.74,2.1,54.8,0
29-10,4808,4808.3,31.1,2.87,<.01,2.79,4.8,17,0
29-12,4810,4810.6,249.8,210.24,0.01,2.81,2.1,22.3,0
29-14,4812.5,4813,147.01,95.46,<.01,2.8,2,22.3,0
29-16,4814.65,4815.4,2.94,2.16,<.01,2.8,2.2,39.5,0
30-1,4900.3,4900.8,0.94,0.48,<.01,2.81,1.8,30.7,0
30-3,4902.5,4903,1.05,0.99,0.01,2.81,5.4,24.4,0
30-4,4903.95,4904.65,0.06,0.06,<.01,2.81,3.4,58.3,0
30-7,4906.45,4906.95,6.88,4.6,1.16,2.81,6.9,40.5,0
30-9,4908.1,4908.4,0.13,0.12,<.01,2.69,8.6,56.1,0
30-11,4910,4910.6,3.34,0.48,<.01,2.81,2.3,26.1,0
30-13,4912,4912.5,0.17,0.14,<.01,2.81,2.8,6.6,0
30-14,4913.45,4913.95,7.79,4.01,<.01,2.78,2.1,79,0
30-15,4914.4,4914.8,0.67,0.33,<.01,2.82,2.3,9.4,0
30-16,4915.8,4916.5,1.48,0.55,<.01,2.82,3.8,38.5,0
30-19,4918.2,4918.55,214.97,44.78,9.96,2.82,7.6,23.3,0
30-21,4920,4920.3,41.46,4.93,4.12,2.81,6.5,24,0
30-24,4923,4923.6,66.95,12.82,<.01,2.82,2.8,45.3,0
30-25,4924.5,4924.9,267.72,5.7,1.94,2.82,3.9,18,0
30-26,4925,4925.6,93.23,74.14,0.02,2.82,5.2,55.1,0
30-27,4926.1,4926.35,1.25,0.75,<.01,2.82,2.6,27,0
30-30,4929.2,4929.75,1.91,1.48,10.4,2.82,5.3,47.8,0
30-31,4930.1,4930.6,195.75,125.15,1.25,2.82,3.7,23.7,0
30-32,4931.9,4932.75,277.85,1.77,1.06,2.83,2.7,37.4,0
30-35,4934,4934.5,10.9,3.98,0.05,2.81,4.6,40.4,0
30-36,4935.85,4936.35,14.8,2.86,1.09,2.83,5,37.2,0
30-38,4937.15,4937.7,1.06,0.08,<.01,2.82,1.8,64.8,0
30-39,4938.2,4938.7,0.77,0.04,<.01,2.82,1.5,10.8,0
30-41,4940,4940.6,4.88,0.51,12.49,2.81,3.3,27.2,0
30-43,4942.3,4942.7,65.08,3.35,0.08,2.82,3.8,18.1,0
30-45,4944.6,4945,13.4,7.44,6.32,2.82,3.8,53.8,0
30-47,4946,4946.5,42.62,34.16,0.01,2.82,4.7,39.7,0
30-48,4947.2,4947.8,47.4,0.02,<.01,2.8,3.1,71.7,0
30-49,4948,4948.4,0.59,0.09,1.45,2.83,3.4,19.5,0
30-51,4950.75,4951.3,175.51,0.04,9.24,2.82,1.6,39.1,0
30-53,4952,4952.6,82.63,78.62,1.45,2.78,4.9,17.8,0
30-55,4954.8,4955.25,1.09,0.26,3.2,2.8,3.4,32,0
30-57,4956.4,4957,180.63,1.36,<.01,2.82,3.4,30.2,0
30-59,4958,4958.6,188.05,180.19,<.01,2.81,5.4,55.2,0
31-2,4960.5,4960.75,2.26,0.09,<.01,2.8,4.8,21,0
31-4,4962,4962.5,1.81,0.74,<.01,2.81,4.7,33.5,0
31-6,4964.45,4964.7,11.89,5.48,0.01,2.81,5.5,25,0
31-8,4966.4,4966.9,310.37,18.15,13.23,2.61,5.2,56,0
31-10,4968.1,4968.2,<.01,Plug,<.01,2.84,3.5,47.1,0
31-12,4970,4970.3,13.94,0.16,0.08,2.82,5.3,57.3,0
31-14,4972.5,4973.1,0.1,0.07,<.01,2.82,2.6,31.1,0
31-16,4974,4974.5,242.54,82.29,2.89,2.82,3.3,43.9,0
31-18,4976.15,4976.55,13.94,0.22,14.14,2.82,2.9,37.7,0
31-19,4976.9,4977.5,4.6,4.16,4.45,2.67,8.8,60.4,0
31-20,4978.1,4978.5,280.28,15.79,56.63,2.73,3.8,72.3,0
31-22,4980.5,4981,106.98,43.12,5.55,2.72,6.4,36.9,0
31-24,4982.1,4982.3,0.85,0.28,0.06,2.82,1.9,55.1,0
31-26,4984.5,4985,9.92,6.18,2.03,2.77,3.3,26.5,0
31-27,4985.1,4985.65,3.5,3.23,2.74,2.7,4.7,50,0
32-1,4986.65,4987,4.67,3.38,28.39,2.66,2.5,42.9,0
32-3,4988.2,4988.55,14.16,5.94,20.42,2.67,3.4,42.7,0
32-5,4990.2,4990.9,88.9,0.04,<.01,2.81,2.2,18.6,0
32-7,4992.5,4993,0.03,0.01,<.01,2.81,4.1,21.2,0
32-8,4993,4993.25,1.36,0.14,0.68,2.81,3.9,24,0
32-10,4995,4995.75,0.29,0.07,<.01,2.79,4.8,51.2,0
32-12,4997,4997.3,0.8,0.32,0.15,2.81,3.5,28.9,0
33-2,5051,5051.4,125.3,67.28,29.58,2.83,4.4,44.3,0
33-6,5055,5055.6,107.85,0.1,<.01,2.83,2.3,77.1,0
33-8,5057.25,5057.85,284.45,4.26,1.24,2.69,8.5,82.6,0
33-9,5058.1,5058.8,3.15,2.3,<.01,2.79,4.5,16.9,0
33-10,5059,5059.6,1.16,0.16,<.01,2.81,3.2,29,0
33-12,5061,5061.3,72.18,3.9,1.67,2.83,2.2,17.9,0
33-13,5062.5,5063.15,123.16,0.08,<.01,2.82,1.9,34.3,0
33-16,5065,5065.6,17.98,9.92,0.01,2.82,2.6,10,0
33-18,5067,5067.6,3.62,2.62,0.03,2.82,3.1,18.8,0
33-20,5069.6,5070.25,14.08,0.48,22.62,2.82,2.5,40.9,0
33-22,5071,5071.6,0.02,0.02,<.01,2.82,2.7,11.4,0
33-24,5073,5073.6,0.67,0.02,<.01,2.82,2,22.1,0
33-25,5074.15,5074.7,5.8,4.62,0.1,2.8,11.8,55.7,0
33-26,5075.2,5075.8,2.61,1.51,<.01,2.81,9.2,17.5,0
33-28,5077.35,5077.65,0.19,0.15,<.01,2.81,4.2,32.3,0
33-29,5078.2,5078.8,0.17,0.1,<.01,2.81,8.3,83.3,0
33-30,5079.35,5079.8,0.04,0.03,<.01,2.82,8.8,35.7,0
33-32,5081,5081.6,0.07,0.05,<.01,2.83,4.3,21.4,0
34-2,5084.3,5084.7,1.31,0.08,0.85,2.79,5.3,66.1,0
34-3,5085.1,5085.55,75.6,26.48,1.31,2.81,4.8,47.5,0
34-4,5086.3,5086.8,104.8,0.02,<.01,2.81,1.9,52,0
34-6,5088.1,5088.6,14.13,0.03,10.22,2.81,3.4,23.6,0
34-8,5090.2,5090.6,3.66,0.02,3.04,2.81,2.1,24.7,0
34-10,5092.3,5092.6,5.21,0.85,<.01,2.83,1.6,29.5,0
34-14,5096.15,5097,0.01,0.01,<.01,2.8,1.8,39,0
34-15,5097.45,5098,175.34,24.81,2.53,2.81,1.7,28.9,0
34-16,5098,5098.5,9.28,4.41,7.69,2.8,2,44.2,0
34-18,5100,5100.6,33.91,5.63,9.13,2.77,1.5,31.5,0
34-20,5102.1,5102.5,5.24,0.04,8.98,2.81,1.9,43.7,0
34-22,5104,5104.45,6.38,5.81,0.48,2.83,8.5,47,0
34-23,5105,5105.6,13.49,10.13,0.03,2.82,8,52.5,0
34-24,5106,5106.6,2.19,2.15,0.01,2.82,6.7,40.1,0
34-26,5108.15,5108.7,0.05,0.02,<.01,2.82,3.2,65.5,0
34-28,5110.5,5111,0.03,0.02,<.01,2.82,3.3,30.1,0
34-32,5114.45,5115,0.08,0.05,<.01,2.83,4.2,33,0
34-34,5116.3,5116.8,0.23,0.14,<.01,2.83,1.9,31.8,0
34-35,5117.15,5117.75,40.14,24.78,2.17,2.82,5.7,46.8,0
34-36,5118,5118.6,105.47,53.37,4.59,2.82,1.5,35.3,0
34-38,5120,5120.6,0.17,0.07,<.01,2.83,2,33.3,0
34-40,5122.4,5123,175.31,2.06,<.01,2.83,1.8,34.7,0
34-42,5124,5124.5,0.21,0.02,0.17,2.83,2.1,49.8,0
34-44,5126,5126.5,0.73,0.08,<.01,2.82,2.5,59.4,0
34-45,5127.1,5127.65,0.76,0.04,7.38,2.83,2.2,70.8,0
34-46,5128.4,5129,0.55,0.33,<.01,2.8,3.5,30.4,0
34-48,5130,5130.6,22.17,7.97,<.01,2.8,4.9,28.9,0
34-50,5132,5132.6,3.58,0.6,5.12,2.76,4.6,52,0
34-52,5134.4,5135,0.7,0.38,<.01,2.76,4.5,31.2,0
34-54,5136,5136.6,0.09,0.08,<.01,2.79,2.2,26.1,0
34-56,5138,5138.6,0.4,0.31,<.01,2.82,2.5,29.2,0
34-58,5140.4,5141,2.88,2.11,<.01,2.7,4.4,6.4,0
34-59,5141,5141.6,0.42,0.37,<.01,2.75,4.7,42.2,0
34-60,5142.2,5142.55,28.5,27.72,19.55,2.68,6.3,6.7,0
35-2,5144,5144.6,0.13,0.11,<.01,2.75,3.5,23.6,0
35-4,5146,5146.5,1.66,1.01,<.01,2.82,1.8,41.2,0
35-6,5148,5148.6,1.86,0.11,<.01,2.73,5,19.1,0
35-8,5150.3,5150.8,0.33,0.07,<.01,2.8,3.7,20.4,0
35-10,5152.2,5152.6,0.23,0.19,<.01,2.83,2.4,39.5,0
35-12,5154.6,5155,0.54,0.3,10.79,2.83,1.9,52.2,0
35-14,5156,5156.6,6.18,1.83,<.01,2.82,1.8,37,0
35-16,5158,5158.4,0.01,0.01,<.01,2.79,2.9,36.4,0
35-18,5160.65,5161,0.09,0.03,<.01,2.75,3.3,52.3,0
35-20,5162.1,5162.7,0.09,0.06,<.01,2.77,4.5,39.6,0
