S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
21-4,6443.4,6444.3,3.475,2.089,<.001,2.67,1.3,97.9,0
21-5,6445.4,6446.3,0.186,0.093,<.001,2.69,0.3,93,0
21-11,6448.8,6449.5,0.038,0.004,<.001,2.7,0.2,91.4,0
21-13,6450.8,6451.5,8.839,0.041,10.85,2.69,0.2,95.1,0
21-14,6452.7,6453.4,0.015,0.005,<.001,2.7,0.1,82.2,0
21-17,6455.8,6456.7,0.007,0.005,<.001,2.7,0.2,84.7,0
21-19,6457.5,6458.35,0.049,0.008,0.011,2.7,0.5,46.8,0
21-20,6460.1,6460.9,0.01,0.005,<.001,2.7,0.4,44,0
21-23,6463.2,6464.1,10.885,0.002,0.007,2.72,1.1,72,0
21-24,6466.5,6467.4,0.004,0.004,<.001,2.76,2.5,81.5,0
21-25,6468.4,6469.3,0.014,0.005,<.001,2.73,2.3,80.8,0
21-26,6471.9,6472.5,0.017,0.011,<.001,2.74,3,83.7,0
22-2,6474.1,6474.8,0.398,0.309,<.001,2.78,4.9,85.6,0
22-3,6477.8,6478.3,0.062,,0.127,2.81,8.5,81,0
22-4,6480.85,6481.1,0.143,,0.091,2.81,11.6,88.8,0
22-8,6483.45,6484.2,0.075,0.072,<.001,2.78,10,86,0
22-10,6484.8,6485.7,0.134,0.044,<.001,2.78,7.8,85.4,0
22-18,6493.4,6493.8,18.178,17.814,tbfa,2.61,14.4,94.1,0
22-21,6500.2,6501,5.687,4.969,0.144,2.62,6.4,85.8,0
22-22,6501.8,6502.7,0.911,0.214,<.001,2.69,3.5,92.1,0
22-24,6505.6,6506.5,0.83,0.382,0.002,2.74,5.1,84.7,0
22-26,6508.15,6508.8,4.034,0.787,2.263,2.72,6.6,83.9,0
22-27,6414.2,6514.6,0.135,0.129,<.001,2.81,8.5,84.6,0
22-28,6517.8,6518.5,0.501,0.108,<.001,2.72,5.9,86.4,0
22-29A,6518.8,6519.4,13.777,1.598,<.001,2.71,5.2,90.9,0
22-29B,6522.5,6523.2,0.087,0.083,<.001,2.7,4.3,91.1,0
22-33,6524.4,6525.2,0.035,0.025,<.001,2.77,6.1,97.2,0
22-34,6526.6,6527.5,0.044,0.044,<.001,2.79,8.5,92.7,0
