DEPT.F,CALI,SGR,CGR,POTA,THOR,URAN,NPHL,DLIM,RHOB,PEF,PHIS,RT,RXO,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,PHItmri,DEPT
4097,8.0446,39.9649,9.0315,0.3548,1.1695,3.0189,7.84,9.46,2.5483,4.5969,10.33922261,12.6111,50.4494,0.2906,0.431,0.482,1.2682,1.7347,2.008,1.8937,0.7998,0.6486,1.1477,10.7043,4097
4097.5,8.0519,41.2688,8.7611,0.3426,1.1424,3.1813,7.21,8.93,2.5573,4.759,9.885512367,14.096,56.4176,0.1054,0.3902,0.5431,0.996,1.3731,1.9201,1.7122,0.9599,0.9231,0.7987,9.7218,4097.5
4098,7.9837,39.466,7.8901,0.3137,1.0046,3.0873,7.13,9.26,2.5516,5.034,9.764381625,16.3044,68.3164,0.05,0.4447,0.4913,0.4253,1.2314,1.9566,1.3947,1.2576,1.1232,0.4714,8.8462,4098
4098.5,7.9462,37.679,7.1924,0.2951,0.8729,2.962,7.02,8.85,2.5587,5.1027,9.646855124,18.8544,83.7709,0.0969,0.4977,0.3336,0.1109,1.1872,1.769,1.2258,1.859,1.1829,0.1873,8.4503,4098.5
4099,7.9375,37.4849,6.7801,0.288,0.7765,2.9681,7.03,8.52,2.5642,5.0744,9.380848057,21.0532,93.9435,0.1129,0.434,0.2056,0.0743,1.1028,1.5079,1.3639,2.3211,1.1366,0.0665,8.3256,4099
4099.5,7.9123,39.6095,6.7366,0.2934,0.737,3.1779,7.18,10.21,2.5355,5.127,8.845441696,23.1324,101.9126,0.1142,0.3719,0.1564,0.1131,0.9454,1.3821,1.6264,2.414,1.1123,0.0781,8.3139,4099.5
4100,7.897,43.2297,6.9947,0.3035,0.7707,3.5165,7.38,11.7,2.51,5.0878,8.249823322,24.642,103.4945,0.1159,0.3209,0.1878,0.213,0.7531,1.1342,1.9298,2.4812,1.011,0.0817,8.2286,4100
4100.5,7.9449,47.9959,7.1853,0.3118,0.7912,4.0016,6.18,10.85,2.5244,4.9537,7.942473498,25.6919,102.1608,0.0824,0.2562,0.3575,0.2999,0.492,1.0489,2.1155,2.2089,0.9059,0.1214,7.8886,4100.5
4101,8.0076,54.3269,7.5695,0.3239,0.8554,4.6221,5.09,8.29,2.5682,4.9196,8.025865724,26.8443,102.5682,0.0276,0.136,0.532,0.475,0.2654,0.94,2.1068,1.91,0.8564,0.1418,7.391,4101
4101.5,8.0249,57.6626,7.441,0.3154,0.8613,5.0231,5.14,6.64,2.5965,5.0087,8.020706714,27.9394,100.983,0.0644,0.0298,0.3646,0.6586,0.404,0.7428,1.8559,1.9768,0.8431,0.0892,7.0292,4101.5
4102,7.9818,56.7075,6.8071,0.2788,0.8368,5.0434,6.38,7.63,2.5796,5.1786,8.017738516,30.4809,112.9024,0.2352,0.0728,0.119,0.4485,0.7938,1.0054,1.3869,1.8194,1.0055,0.1574,7.0439,4102
4102.5,7.8973,52.3603,5.894,0.235,0.7618,4.748,7.27,9.14,2.5537,5.3641,8.053144876,33.814,136.5541,0.3829,0.2491,0.0395,0.1219,1.045,1.2918,1.0832,1.8502,1.1285,0.1721,7.3642,4102.5
4103,7.8893,48.3207,5.1175,0.2017,0.6883,4.4543,7.2,9.26,2.5517,5.343,7.81434629,36.1142,155.0936,0.3545,0.4201,0.0146,0.0309,1.0655,1.3101,1.091,1.9962,1.1087,0.1226,7.5142,4103
4103.5,7.9427,46.9271,4.8286,0.1909,0.6473,4.3731,6.07,8.45,2.5654,5.0906,7.211236749,36.6794,153.4583,0.2834,0.5332,0.0129,0.0123,0.8144,1.6277,1.0161,1.7461,1.1337,0.1353,7.3151,4103.5
4104,8.0096,48.8611,5.1346,0.2054,0.6762,4.5462,4.75,7.41,2.5833,4.8325,6.453074205,35.5014,133.5254,0.3513,0.5342,0.0066,0.0082,0.6767,1.7192,0.8831,1.4661,1.0765,0.1101,6.832,4104
4104.5,8.0862,51.9464,5.7454,0.2361,0.7252,4.7792,3.62,5.73,2.612,4.6651,5.734063604,33.4252,112.6105,0.4985,0.5328,0.0062,0.0291,0.808,1.1594,0.7896,1.3417,0.8182,0.0574,6.0409,4104.5
4105,8.1446,52.0165,6.1466,0.259,0.7429,4.7004,2.83,3.9,2.6432,4.6912,5.261696113,31.2359,97.9223,0.6658,0.5266,0.0062,0.0365,0.8695,0.7714,0.4284,1.1023,0.6116,0.033,5.0513,4105
4105.5,8.1702,49.2817,6.3647,0.2621,0.795,4.3549,2.54,2.96,2.6593,4.8491,5.114840989,28.5659,83.9243,0.796,0.4663,0.004,0.0477,0.7805,0.6431,0.1741,0.6027,0.5304,0.0509,4.0957,4105.5
4106,8.1777,46.0116,6.245,0.2568,0.7804,4.0256,2.52,2.44,2.6683,4.9166,5.13745583,26.269,75.2625,0.727,0.497,0.0256,0.0751,0.6648,0.4916,0.0897,0.2726,0.4028,0.0597,3.3059,4106
4106.5,8.1886,44.1219,6.3366,0.2564,0.8102,3.8233,2.85,1.9,2.6775,4.927,5.427208481,24.8877,74.4734,0.3357,0.6533,0.175,0.1029,0.6401,0.2956,0.0969,0.3049,0.2121,0.0248,2.8413,4106.5
4107,8.1919,43.466,6.5325,0.2644,0.8346,3.7351,3.71,2.06,2.6748,4.9724,5.762756184,23.3382,72.2229,0.0778,0.5829,0.3827,0.1545,0.6156,0.3154,0.2622,0.3562,0.0927,0.0099,2.8499,4107
4107.5,8.2005,40.3474,6.1146,0.2462,0.7872,3.4675,4.62,3.66,2.6475,5.0512,5.712084806,22.8668,81.9877,0.0218,0.3097,0.3768,0.4062,0.6295,0.3556,0.6005,0.4268,0.048,0.0112,3.1861,4107.5
4108,8.1913,35.9926,5.4787,0.2188,0.7144,3.1019,4.98,5.77,2.6114,5.0994,5.416537102,23.3291,111.6517,0.02,0.1673,0.3238,0.622,0.6264,0.4337,0.9016,0.5592,0.0432,0.0096,3.7068,4108
4108.5,8.172,32.6494,5.0448,0.1976,0.676,2.8198,4.72,6.29,2.6025,5.0683,5.073498233,22.2252,128.7339,0.0802,0.2058,0.1803,0.416,0.7134,0.7684,0.9273,0.6207,0.1136,0.041,4.0667,4108.5
4109,8.1763,33.2851,5.2702,0.2046,0.7145,2.8789,3.99,5.22,2.6208,5.0547,4.722473498,19.5429,113.7444,0.2131,0.2082,0.0465,0.0952,0.7399,1.1836,0.7666,0.538,0.2149,0.0934,4.0994,4109
4109.5,8.1794,38.6753,6.4334,0.2465,0.8869,3.3264,3.09,4.25,2.6373,5.0716,4.47795053,16.3905,93.9389,0.3423,0.2551,0.0259,0.0064,0.4871,1.3541,0.708,0.3233,0.2142,0.1937,3.9101,4109.5
4110,8.1796,45.7783,7.7804,0.3002,1.0636,3.921,2.37,3.2,2.6552,5.0221,4.33024735,13.8124,88.6842,0.3954,0.3726,0.0389,0.0002,0.2521,1.2668,0.6288,0.1699,0.1656,0.2585,3.5488,4110
4110.5,8.1681,49.4325,8.7252,0.3346,1.2025,4.1678,2.12,2.15,2.6733,4.9756,4.329893993,12.2515,90.89,0.3749,0.5402,0.0683,0,0.1377,1.0131,0.5073,0.1891,0.1473,0.1527,3.1306,4110.5
4111,8.1533,47.4873,8.6137,0.3323,1.1777,3.9399,2.17,2.33,2.6702,4.8658,4.626713781,10.914,94.2238,0.3182,0.6647,0.1513,0.0001,0.0754,0.7393,0.5233,0.2066,0.072,0.0372,2.7881,4111
4111.5,8.1242,41.2192,7.7974,0.3035,1.0473,3.3366,2.56,3.5,2.6502,4.4853,5.307491166,9.4884,95.1244,0.3245,0.7202,0.1703,0.0002,0.1489,0.6815,0.4636,0.1495,0.0311,0.0195,2.7093,4111.5
4112,8.1071,34.6691,6.8417,0.2665,0.9154,2.7419,3.08,4.1,2.6399,4.1586,6.183674912,8.1182,83.744,0.3887,0.7308,0.0853,0.0003,0.3579,0.9652,0.2457,0.0747,0.031,0.0736,2.9532,4112
4112.5,8.0838,32.9075,6.7213,0.2595,0.9049,2.5573,3.56,3.52,2.6497,4.2978,7.032862191,7.007,70.1284,0.4583,0.6602,0.0607,0.0144,0.6053,1.2748,0.2036,0.0177,0.0104,0.1529,3.4583,4112.5
4113,8.0522,33.4868,7.0326,0.2686,0.958,2.568,3.97,3.8,2.645,4.5278,7.642756184,6.1315,56.6182,0.6074,0.464,0.0698,0.0942,0.8611,1.4213,0.3704,0.0486,0.0226,0.1977,4.1571,4113
4113.5,8.026,34.4825,7.3804,0.276,1.0228,2.635,4.68,5.92,2.6088,4.3012,8.200141343,5.1937,35.189,0.7056,0.3653,0.0698,0.2177,1.0657,1.5722,0.5753,0.1922,0.0924,0.1692,5.0254,4113.5
4114,7.9509,33.9851,7.2229,0.268,1.0112,2.6119,5.98,8,2.5732,3.9758,9.005795053,4.5933,26.8694,0.6073,0.4086,0.087,0.3659,1.1142,1.7661,0.9228,0.4143,0.1795,0.1099,5.9756,4114
4114.5,7.8813,32.5173,6.8581,0.2515,0.9746,2.5204,7.23,8.97,2.5567,4.1342,9.743745583,4.2766,25.3388,0.4912,0.3175,0.1244,0.5872,0.9998,1.9247,1.5704,0.6556,0.2366,0.1655,7.0729,4114.5
4115,7.8206,30.9314,6.4578,0.2319,0.9414,2.4149,8.44,9.65,2.545,4.4641,10.79491166,3.9945,24.0677,0.3729,0.1664,0.1743,0.8725,0.9305,1.7856,2.2927,1.178,0.2641,0.1727,8.2097,4115
4115.5,7.7995,32.1055,6.7895,0.2414,1.002,2.4997,9.49,11.13,2.5198,4.6306,11.76954064,3.6946,21.6858,0.1356,0.1065,0.1651,0.8618,1.0869,1.5718,2.8096,2.0416,0.4981,0.0992,9.3762,4115.5
4116,7.7866,35.9127,7.734,0.2723,1.1544,2.772,10.72,12.96,2.4883,4.7846,12.6044523,3.4189,19.2812,0.0099,0.0204,0.0805,0.7017,1.3706,1.553,3.0844,2.9091,0.9333,0.083,10.7459,4116
4116.5,7.7727,39.9588,8.7298,0.3041,1.3191,3.058,11.8,13.8,2.4741,4.8279,14.02028269,3.2422,18.1215,0,0.0003,0.0181,0.6488,1.4544,1.4946,3.5122,3.6445,1.2463,0.0826,12.1018,4116.5
4117,7.7586,42.4397,9.0901,0.3152,1.3806,3.2855,12.52,14.09,2.4691,4.6657,14.83597173,3.1767,17.856,0,0.0032,0.0422,0.6586,1.2432,1.5836,4.0026,4.1725,1.4699,0.0934,13.2692,4117
4117.5,7.7598,42.6618,8.9365,0.3052,1.3799,3.3519,13.33,15.29,2.4485,4.5407,15.2029682,3.1817,17.8498,0.0006,0.0391,0.262,0.5215,0.9239,2.113,4.3137,4.3215,1.7393,0.159,14.3936,4117.5
4118,7.7585,42.2766,8.6285,0.292,1.3455,3.3998,14.48,17.53,2.4103,4.5013,15.11696113,3.2377,18.0686,0.003,0.1101,0.4728,0.2957,0.5386,2.7492,4.7039,4.1991,1.9614,0.3133,15.3471,4118
4118.5,7.7549,40.9125,8.2494,0.2718,1.3213,3.332,14.98,19.14,2.3828,4.4237,14.67250883,3.3548,19.0168,0.0266,0.2249,0.3586,0.093,0.4475,3.2336,4.8094,4.0432,2.1633,0.4838,15.8839,4118.5
4119,7.7543,39.1568,7.6286,0.2459,1.2478,3.244,14.4,18.46,2.3944,4.4251,14.11067138,3.543,20.8727,0.1268,0.3795,0.1715,0.0141,0.4111,3.3322,4.9002,3.9865,2.1753,0.5421,16.0393,4119
4119.5,7.7569,35.313,6.4788,0.2047,1.0796,2.9939,13,15.92,2.4378,4.6579,13.48756184,3.8035,23.71,0.2423,0.4472,0.1209,0.1005,0.3265,2.838,5.2531,4.0389,1.8487,0.537,15.7531,4119.5
4120,7.7621,31.1351,5.3888,0.1653,0.9215,2.6916,11.61,13.24,2.4836,4.9655,12.88897527,4.1378,27.6322,0.2396,0.4142,0.2204,0.4002,0.1965,2.1042,5.6627,3.9782,1.3534,0.5125,15.0819,4120
4120.5,7.7636,29.0979,4.7932,0.1391,0.857,2.5735,10.31,11.98,2.5052,5.0478,12.17279152,4.6823,38.3094,0.1508,0.1847,0.2211,0.8341,0.2352,1.658,5.5138,3.794,1.0987,0.3842,14.0746,4120.5
4121,7.7687,28.0735,4.6895,0.1291,0.8713,2.4935,9.48,11.01,2.5218,5.0719,10.89929329,5.2982,52.7947,0.0378,0.0225,0.1742,1.1302,0.31,1.4906,5.1807,3.3494,0.9413,0.3297,12.9664,4121
4121.5,7.7916,29.3477,5.1628,0.1335,0.9995,2.5909,7.92,8.97,2.5566,5.3763,9.494911661,5.9196,63.8316,0.0021,0.0005,0.1963,1.2736,0.2942,1.4637,4.6011,2.766,0.7379,0.286,11.6214,4121.5
4122,7.8687,30.5796,5.6082,0.141,1.1041,2.6728,6.21,6.54,2.5982,5.6886,8.573780919,6.6549,75.3588,0.0002,0,0.1157,1.3033,0.5107,1.2942,3.7346,2.4916,0.5551,0.1191,10.1245,4122
4122.5,7.9612,30.1,5.8878,0.1485,1.1566,2.5717,4.33,4.27,2.637,5.62,7.491236749,7.5581,88.3054,0.0016,0,0.0785,1.3121,0.7458,0.8749,3.1418,2.3027,0.3016,0.0171,8.7761,4122.5
4123,8.0451,29.2814,5.9892,0.1537,1.163,2.4575,3.5,3.7,2.6467,5.2689,5.906007067,8.6734,96.5181,0.01,0.0029,0.0964,1.209,0.8563,0.7107,2.4924,1.8708,0.1492,0.0006,7.3983,4123
4123.5,8.0897,26.5205,5.7412,0.1523,1.0909,2.1759,3.43,4.37,2.6353,4.9962,5.265229682,9.9058,99.5027,0.0725,0.0346,0.0654,0.9242,0.9553,0.7422,1.8306,1.3099,0.0917,0,6.0264,4123.5
4124,8.1295,24.8777,5.5866,0.1495,1.055,2.0072,3.24,4.36,2.6354,4.9907,5.11024735,11.1863,127.2246,0.1794,0.1338,0.0587,0.7461,0.9227,0.8056,1.465,0.8403,0.0399,0,5.1915,4124
4124.5,8.1573,24.6507,5.6483,0.1531,1.0569,1.9647,3.04,3.84,2.6443,5.0852,5.251731449,12.4119,134.4154,0.2471,0.3425,0.1725,0.6635,0.5733,1.0174,1.3746,0.395,0.0086,0,4.7945,4124.5
4125,8.183,27.0389,6.2222,0.1704,1.1557,2.1466,2.84,3.31,2.6535,5.0278,5.489611307,13.2774,90.491,0.2955,0.5673,0.2671,0.5407,0.2501,1.2026,1.25,0.1043,0.0004,0,4.478,4125
4125.5,8.1952,31.3508,7.214,0.2,1.3278,2.4951,2.78,2.52,2.667,4.8222,5.699081272,13.4054,52.6563,0.2711,0.6819,0.2738,0.6381,0.3068,0.9158,1.0797,0.068,0.0023,0.0021,4.2396,4125.5
4126,8.1972,36.0109,8.318,0.2372,1.4993,2.8731,2.94,1.76,2.6799,4.7061,5.806501767,13.1734,36.1527,0.2628,0.7619,0.395,0.6049,0.4967,0.6701,0.7047,0.1113,0.0248,0.0166,4.0488,4126
4126.5,8.2074,42.6041,9.8906,0.2948,1.7213,3.4118,3.21,1.57,2.6832,4.7403,5.82360424,12.9712,29.2947,0.3651,0.8646,0.6509,0.4797,0.5557,0.508,0.2734,0.1055,0.103,0.0277,3.9336,4126.5
4127,8.2179,52.3427,12.2781,0.3854,2.0439,4.1742,3.29,1.64,2.682,4.7504,5.805936396,13.4124,29.36,0.314,1.0062,0.9555,0.443,0.4436,0.3027,0.0701,0.0951,0.1355,0.03,3.7957,4127
4127.5,8.2268,63.482,15.0107,0.4945,2.3872,5.0255,3.13,1.73,2.6804,4.7395,5.856678445,14.2032,31.5057,0.1578,1.0154,1.2561,0.3644,0.2015,0.2788,0.1397,0.0883,0.0756,0.0189,3.5965,4127.5
4128,8.252,68.159,16.2011,0.5603,2.4502,5.3563,3.25,1.64,2.682,4.7681,5.997879859,14.8281,32.5438,0.137,0.9045,1.219,0.3785,0.1059,0.2797,0.3201,0.1457,0.0414,0.0034,3.5352,4128
4128.5,8.2601,62.3889,14.8217,0.5347,2.1365,4.8636,3.78,1.8,2.6791,4.7574,6.128904594,16.6384,38.7072,0.3548,0.7699,0.752,0.3572,0.3661,0.3705,0.4084,0.3168,0.0689,0.0019,3.7665,4128.5
4129,8.2662,47.6133,11.1303,0.4173,1.529,3.708,4.21,2.82,2.6619,4.7577,6.28204947,19.6141,51.9776,0.6665,0.7344,0.2465,0.1998,0.7148,0.5711,0.4868,0.5137,0.0907,0.0038,4.2281,4129
4129.5,8.2722,33.5673,7.9814,0.304,1.0738,2.5692,4.47,4.28,2.6368,4.8405,6.393568905,23.37,75.3965,0.7096,0.5973,0.0579,0.0419,0.7151,1.2106,0.4653,0.5354,0.2323,0.0312,4.5966,4129.5
4130,8.2674,26.2028,6.4341,0.2434,0.8733,1.9633,4.31,5.28,2.6197,4.9428,6.066572438,25.2469,85.6094,0.6354,0.4705,0.013,0.0015,0.5636,1.7966,0.5559,0.4433,0.3579,0.0781,4.9158,4130
4130.5,8.2887,24.9023,6.685,0.2503,0.9199,1.7765,3.64,5,2.6245,5.0298,5.679151943,24.8155,73.6418,0.4817,0.5788,0.0222,0,0.4636,1.863,0.8295,0.4079,0.2897,0.1266,5.063,4130.5
4131,8.3051,26.6506,7.8425,0.2926,1.0836,1.7993,2.92,3.52,2.6498,5.0833,5.432579505,24.27,64.455,0.2698,0.6454,0.1378,0.0088,0.3731,1.6204,0.9954,0.3644,0.1818,0.1557,4.7526,4131
4131.5,8.3147,30.7124,9.8496,0.3656,1.369,1.9652,2.47,2.27,2.6712,4.9665,5.278091873,23.6501,56.4833,0.1683,0.5842,0.3998,0.0514,0.2204,1.1516,1.043,0.2701,0.0747,0.1365,4.1,4131.5
4132,8.309,34.4789,11.8547,0.4369,1.6618,2.1062,2.5,1.95,2.6767,4.6593,5.278303887,21.8654,43.7989,0.2968,0.5921,0.4489,0.053,0.0822,0.7635,0.9519,0.1662,0.0128,0.0578,3.4252,4132
4132.5,8.3131,38.9666,13.9689,0.5093,1.9841,2.3223,2.95,1.95,2.6767,4.483,5.661484099,21.7763,41.3384,0.4687,0.5649,0.3012,0.0405,0.0344,0.601,0.653,0.0856,0.0067,0.0122,2.7682,4132.5
4133,8.306,42.2311,15.5763,0.571,2.197,2.4666,2.67,2.45,2.6682,4.4934,6.584734982,22.9892,43.0556,0.5578,0.3333,0.179,0.1173,0.0693,0.5076,0.3351,0.0232,0.0025,0.0098,2.1349,4133
4133.5,8.2961,43.7565,16.4348,0.6077,2.2928,2.5116,2.69,3.15,2.6561,4.5173,8.315053004,23.9046,42.5329,0.6098,0.1047,0.0541,0.1426,0.2604,0.3449,0.1298,0.0031,0.0022,0.0143,1.6659,4133.5
4134,8.2952,46.5132,17.5147,0.6565,2.4011,2.6515,2.87,3.09,2.6572,4.5764,10.74282686,24.7727,40.671,0.75,0.0501,0.0035,0.0693,0.4253,0.1937,0.025,0.0011,0.0037,0.0213,1.543,4134
4134.5,8.3019,50.3996,19.0557,0.7157,2.6053,2.8653,3.39,2.36,2.6696,4.6491,13.0565371,18.3174,24.6676,0.8128,0.1238,0,0.0737,0.457,0.0979,0.0013,0.002,0.0152,0.0198,1.6035,4134.5
4135,8.3209,55.0824,20.723,0.777,2.8491,3.1517,5.66,3.03,2.6582,4.6885,13.99526502,13.3659,16.7357,0.8034,0.1669,0,0.1568,0.451,0.0281,0.0004,0.0089,0.0341,0.0172,1.6668,4135
4135.5,8.3474,60.4732,22.561,0.8431,3.1152,3.4922,9.78,7.2,2.5869,4.5114,13.78911661,11.8524,15.4941,0.9127,0.162,0,0.1644,0.4193,0.0295,0.0018,0.0218,0.0361,0.0241,1.7717,4135.5
4136,8.4297,63.0872,23.2634,0.8679,3.2192,3.6807,12.52,13.46,2.4798,4.0631,12.88070671,7.7167,9.5265,1.1964,0.2043,0,0.0896,0.3973,0.0592,0.0136,0.0804,0.1071,0.045,2.1929,4136
4136.5,8.4788,60.0592,22.1182,0.8212,3.0798,3.4998,15.09,16.16,2.4337,3.8405,11.46720848,6.9154,8.5216,1.4583,0.1876,0,0.0655,0.3531,0.0762,0.1199,0.4849,0.3063,0.0331,3.0849,4136.5
4137,8.429,51.4646,18.8879,0.6938,2.6657,3.0054,14.28,11.86,2.5071,4.1613,11.43342756,9.2826,13.2038,1.4493,0.1018,0,0.06,0.2494,0.103,0.3786,1.299,0.7115,0.0543,4.4069,4137
4137.5,8.4358,39.1754,14.4205,0.5217,2.0732,2.2779,14.33,8.89,2.558,4.6887,13.1244523,13.3749,27.4499,1.425,0.0622,0,0.0245,0.1378,0.2593,0.7704,2.2374,1.5812,0.3042,6.802,4137.5
4138,8.4407,28.7653,10.6762,0.3789,1.5698,1.6589,18.47,14.31,2.4653,5.0685,14.82318021,16.3165,57.7198,1.2688,0.0849,0.0055,0.0166,0.1199,0.4603,1.3749,3.0801,2.5019,0.8248,9.7377,4138
4138.5,8.5341,22.5795,8.4617,0.2951,1.2691,1.2929,24.42,21.19,2.3477,5.2717,15.92282686,15.7463,67.9025,0.5809,0.1075,0.033,0.022,0.1054,0.7388,1.9888,4.0248,3.615,1.5053,12.7215,4138.5
4139,8.6056,20.8583,7.9546,0.2716,1.2204,1.177,25.75,24.36,2.2934,5.43,16.58699647,14.062,56.131,0.0674,0.0581,0.031,0.0082,0.0694,0.9274,2.6053,4.9741,4.7648,2.0325,15.5382,4139
4139.5,8.5561,20.1157,7.7524,0.2597,1.2132,1.134,25.59,26.07,2.2642,5.5651,16.72106007,12.5262,44.0723,0.0001,0.0064,0.0045,0.0008,0.0166,0.7173,3.2014,6.1331,5.4065,2.1499,17.6366,4139.5
4140,8.3041,20.21,7.8234,0.259,1.2392,1.1492,27.13,27.3,2.2432,5.5276,16.6069258,11.9576,44.428,0,0,0,0,0,0.3208,3.3788,7.7349,5.7681,1.9393,19.1419,4140
4140.5,8.1681,20.4161,7.6729,0.2529,1.2207,1.2013,25.23,27.45,2.2406,5.3475,16.36501767,12.197,56.0433,0,0,0,0,0,0.2792,3.6437,8.2287,5.8697,1.9619,19.9832,4140.5
4141,8.2332,20.4438,7.1678,0.2357,1.1435,1.2785,23.4,26.11,2.2635,5.1608,15.96671378,11.9922,59.9802,0,0,0,0,0.0006,0.5405,3.8258,7.9072,5.988,2.1093,20.3714,4141
4141.5,8.3328,20.6962,6.5217,0.2138,1.0453,1.3905,23.74,24.54,2.2904,5.0056,15.79067138,11.2714,58.3685,0,0,0,0,0.0133,0.9053,3.7987,7.383,6.1536,2.3177,20.5716,4141.5
4142,8.3827,20.5333,5.5072,0.1802,0.8865,1.5084,23.9,24.07,2.2985,4.9513,15.73187279,10.4831,55.3666,0,0,0,0,0.0381,1.0424,3.7866,7.1913,6.1934,2.4613,20.7131,4142
4142.5,8.4062,20.2461,4.754,0.1577,0.7571,1.572,24.35,24.72,2.2873,4.9331,15.84077739,9.8525,54.1639,0,0,0,0,0.0209,0.8361,3.9847,7.2932,6.0816,2.4991,20.7156,4142.5
4143,8.4164,21.0308,4.4533,0.1515,0.6931,1.6972,25.27,26.3,2.2603,4.8347,15.99971731,9.4215,55.0754,0,0,0,0,0.0016,0.5385,4.0473,7.6505,5.9967,2.4088,20.6434,4143
4143.5,8.3832,20.8481,4.3514,0.1476,0.6804,1.694,25.73,27.42,2.2411,4.7653,16.30021201,9.0149,54.7048,0,0,0,0,0,0.3699,4.1013,7.8363,5.8843,2.4018,20.5936,4143.5
4144,8.2536,20.5681,4.4675,0.146,0.7254,1.6549,25.33,27.64,2.2373,4.7644,16.68353357,8.6303,54.3686,0,0,0,0,0,0.2463,4.1682,7.9866,5.7523,2.4012,20.5546,4144
4144.5,8.182,19.4233,4.5325,0.1422,0.7638,1.5284,25.75,28.15,2.2287,4.7302,16.86353357,8.3492,55.1799,0,0,0,0,0,0.1268,4.0835,8.3473,5.7432,2.2532,20.554,4144.5
4145,8.161,18.1605,4.5859,0.1399,0.7848,1.3775,24.41,28.75,2.2183,4.6432,16.84310954,8.1818,54.8851,0,0,0,0,0,0.094,4.0914,8.4678,5.7544,2.2243,20.6319,4145
4145.5,8.1213,18.149,4.7714,0.1429,0.8297,1.3452,24.47,28.86,2.2165,4.5255,17.00275618,7.9379,55.1941,0,0,0,0,0,0.1279,4.1996,8.3644,5.7679,2.3263,20.7861,4145.5
4146,8.0049,18.2162,4.8661,0.1453,0.8482,1.3304,24.48,28.75,2.2183,4.42,17.21809187,7.66,56.1541,0,0,0,0,0,0.1882,4.2465,8.246,5.8696,2.4232,20.9735,4146
4146.5,7.9347,19.4553,5.0079,0.1456,0.8918,1.4456,23.24,28.44,2.2236,4.4009,17.34091873,7.4216,56.2695,0,0,0,0,0,0.2304,4.2338,8.1368,6.0179,2.4192,21.0381,4146.5
4147,7.8962,19.7788,4.8812,0.1382,0.8873,1.4996,22.09,27.66,2.237,4.5143,17.35137809,7.2185,56.2195,0,0,0,0,0,0.1994,3.8969,8.4425,6.1656,2.1439,20.8483,4147
4147.5,7.8678,19.5222,4.8396,0.1348,0.8901,1.4738,21.35,26.15,2.2628,4.7293,17.2160424,7.0595,56.6485,0,0,0,0,0,0.1084,3.5435,8.8045,6.1486,1.9234,20.5284,4147.5
4148,7.8644,18.2784,4.591,0.1263,0.8525,1.3648,21.76,24.85,2.2851,4.9087,17.01787986,6.8608,54.6919,0,0,0,0,0,0.0491,3.3727,8.9825,6.1019,1.8228,20.329,4148
4148.5,7.8704,17.8897,4.5486,0.1246,0.8468,1.312,21.75,24.96,2.2833,4.8725,16.9014841,6.615,49.6594,0,0,0,0,0,0.0799,3.3617,8.6945,6.1473,2.0253,20.3087,4148.5
4149,7.879,18.3315,4.6627,0.1307,0.8543,1.3399,21.31,26.03,2.2649,4.6913,16.72685512,6.4281,45.468,0,0,0,0,0,0.0966,3.3663,8.4625,6.1622,2.2245,20.3121,4149
4149.5,7.8729,18.5097,4.7534,0.1332,0.8712,1.353,22.36,26.81,2.2515,4.6355,16.42890459,6.2526,40.5267,0,0,0,0,0,0.1341,3.2376,8.381,6.1847,2.2487,20.1861,4149.5
4150,7.8725,19.0134,5.0231,0.1412,0.9187,1.3772,22.36,26.34,2.2596,4.7141,16.22254417,6.1341,36.1236,0,0,0,0,0,0.155,3.2267,8.1608,6.0609,2.2922,19.8956,4150
4150.5,7.8767,19.6939,5.2647,0.1484,0.9606,1.4189,20.99,24.66,2.2883,4.7823,16.07575972,6.0905,33.1686,0,0,0,0,0,0.2445,3.5406,7.5815,5.8033,2.4349,19.6048,4150.5
4151,7.8911,20.5215,5.5599,0.1586,1.0055,1.4613,18.56,21.91,2.3353,4.9345,15.85385159,6.2247,33.6159,0,0.0003,0.0001,0,0.0039,0.5412,3.9551,6.7228,5.5411,2.6513,19.4158,4151
4151.5,7.9349,21.5222,5.887,0.1718,1.0455,1.5164,16.98,17.24,2.4152,5.4234,15.7264311,6.5749,35.8816,0,0.0029,0.0009,0.0001,0.045,0.7754,4.0535,6.4415,5.3659,2.4433,19.1285,4151.5
4152,8.0013,22.0002,6.0116,0.1815,1.0386,1.5459,17.19,13.72,2.4754,6.0486,15.39766784,7.0099,37.4594,0,0.0036,0.0011,0.0001,0.0892,0.7398,3.8905,6.8035,5.2963,1.9103,18.7344,4152
4152.5,8.0433,22.1947,6.0691,0.1861,1.0342,1.5562,18.61,15.54,2.4443,6.197,15.06332155,7.5669,39.279,0,0.0006,0.0002,0,0.0434,0.5526,3.8706,7.1586,5.1508,1.5844,18.3612,4152.5
4153,8.0237,22.3887,5.9495,0.1841,1.0056,1.5958,19.89,18.98,2.3854,5.9158,14.20275618,8.2503,41.4049,0,0,0,0,0.0047,0.3433,3.8687,7.3755,4.9295,1.4782,17.9999,4153
4153.5,8.0169,23.143,6.0131,0.1902,0.9963,1.6662,19.9,19.35,2.3791,5.6809,13.12791519,9.212,45.4334,0,0,0,0.0001,0.0032,0.2351,3.7115,7.4017,4.7561,1.3648,17.4725,4153.5
