DEPT.F,CALI,SGR,CGR,POTA,THOR,URAN,NPHL,DLIM,RHOB,PEF,PHIS,RT,RXO,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,PHItmri,DEPT
3951,8.0687,440.7275,90.3289,3.5195,11.8306,28.337,35.91,27.92,2.2326,3.2518,41.11144876,11.8361,11.1172,0.0569,0.0013,0.0028,0.0456,0.0923,0.1362,0.0456,0.0058,0,0,0.3865,3951
3951.5,8.0855,408.1088,82.7223,3.2348,10.7788,26.232,35.06,28.49,2.2228,3.3419,39.31229682,8.4787,8.6458,0.2489,0.0108,0.02,0.0643,0.1716,0.1546,0.0319,0.0022,0,0,0.7043,3951.5
3952,8.1011,345.9066,69.1433,2.7002,9.0261,22.2624,34.75,26.72,2.2531,3.3243,36.01646643,6.0712,6.6169,0.4785,0.1169,0.1353,0.0983,0.3143,0.1747,0.0089,0,0,0,1.3269,3952
3952.5,8.1429,255.6216,50.4753,1.97,6.5942,16.4521,26.14,18.16,2.3995,3.3474,31.34226148,4.7143,5.3249,0.4283,0.4325,0.4822,0.227,0.427,0.162,0.0015,0,0,0,2.1605,3952.5
3953,8.2017,164.6439,32.3675,1.2651,4.2193,10.5772,18.15,9.99,2.5392,3.4747,26.19561837,4.7244,5.4932,0.4057,0.8212,0.8152,0.4547,0.6289,0.1371,0.0009,0.0006,0,0.0008,3.2651,3953
3953.5,8.2179,96.9205,19.3236,0.7586,2.5028,6.1828,12.5,6.67,2.596,3.76,20.82890459,5.5413,6.7603,0.7999,1.1274,0.8264,0.66,0.9646,0.1861,0.0258,0.0034,0.0024,0.0182,4.6142,3953.5
3954,8.2153,59.2429,12.1642,0.478,1.5729,3.7468,9.59,5.44,2.617,4.2324,16.21342756,7.1212,9.3024,0.95,1.3246,0.8554,0.8717,1.2077,0.3166,0.1049,0.0249,0.0098,0.0623,5.7279,3954
3954.5,8.2097,42.3113,9.0912,0.3569,1.1768,2.6538,8.45,5.35,2.6185,4.5891,12.67992933,9.136,12.6897,1.0172,1.5999,0.7028,1.1,1.5437,0.3234,0.2244,0.1404,0.0183,0.056,6.7261,3954.5
3955,8.1941,34.0407,7.7612,0.3028,1.0132,2.1199,7.46,6.35,2.6014,4.6436,10.63618375,11.3653,16.353,1.2318,1.3478,0.3658,1.5415,1.8739,0.3402,0.3754,0.3144,0.0346,0.0211,7.4465,3955
3955.5,8.1935,30.1551,7.3155,0.2843,0.9602,1.8723,6.94,7.3,2.5852,4.6616,9.877102473,13.4684,19.0165,1.1177,1.029,0.4136,1.7161,1.8456,0.4993,0.4893,0.3762,0.0523,0.0225,7.5616,3955.5
3956,8.1963,28.1227,7.3674,0.2862,0.9672,1.7279,6.65,7.47,2.5823,4.8098,9.859717314,14.4239,18.9514,0.6046,0.6798,0.7506,1.8181,1.5762,0.776,0.7251,0.4379,0.077,0.0365,7.4818,3956
3956.5,8.1901,27.8555,7.9198,0.306,1.0471,1.6947,6.44,6.95,2.5912,4.9398,10.57575972,13.5196,16.7078,0.1601,0.3315,1.0217,2.0491,1.372,0.7428,0.9268,0.5533,0.0557,0.0145,7.2275,3956.5
3957,8.181,29.4172,9.1531,0.3483,1.2355,1.7704,6.28,6.51,2.5986,4.9247,12.20127208,11.4009,13.1323,0.0126,0.0766,1.1793,2.2998,1.1825,0.6047,1.0059,0.5463,0.0318,0.0091,6.9486,3957
3957.5,8.194,36.7397,12.428,0.4665,1.7076,2.1863,6.47,6.14,2.605,4.7974,14.3039576,9.2085,9.6263,0,0.0609,1.2814,2.2167,1.0453,0.548,0.9084,0.3952,0.0205,0.0293,6.5057,3957.5
3958,8.207,59.1056,20.9168,0.7829,2.8845,3.5337,8.38,5.46,2.6166,4.5869,16.27745583,7.8116,7.8005,0.0003,0.1328,1.3945,1.9343,0.9379,0.4915,0.7265,0.2696,0.0085,0.0154,5.9113,3958
3958.5,8.2513,95.3324,34.2559,1.299,4.6438,5.704,12.77,6.3,2.6023,4.2415,17.59067138,6.7129,7.1461,0.0398,0.1793,1.388,1.7376,0.7531,0.3718,0.5409,0.1757,0.0047,0.0011,5.192,3958.5
3959,8.2757,124.1112,44.1674,1.7044,5.8478,7.4653,16.67,9.17,2.5532,3.815,18.02438163,5.9254,6.2755,0.2184,0.2439,1.1021,1.4393,0.6471,0.2854,0.3023,0.0924,0.0078,0,4.3387,3959
3959.5,8.2435,125.8471,44.4085,1.714,5.8784,7.6305,16.07,10.03,2.5385,3.6237,17.58699647,6.5484,6.8259,0.6536,0.3624,0.6234,1.0982,0.5533,0.152,0.1369,0.033,0.006,0.0017,3.6205,3959.5
3960,8.1917,103.005,36.0846,1.3763,4.8549,6.3012,10.57,6.91,2.5918,3.872,16.74388693,8.3229,8.4281,1.339,0.3337,0.2644,0.9341,0.3584,0.0323,0.0337,0.0159,0.0143,0.0055,3.3313,3960
3960.5,8.1675,74.7804,26.3181,0.9916,3.5989,4.5807,7.01,3.76,2.6457,4.1514,15.45611307,11.0319,10.8042,2.0526,0.2926,0.1058,0.8038,0.2301,0.0033,0.0043,0.0048,0.0145,0.0032,3.515,3960.5
3961,8.1817,59.3875,21.2397,0.7943,2.933,3.5945,6.45,3.25,2.6544,4.1226,12.93915194,12.1243,11.6369,2.4122,0.3818,0.0865,0.6944,0.1583,0,0,0.0059,0.0164,0.0009,3.7564,3961
3961.5,8.189,54.9511,20.0769,0.75,2.7761,3.2698,6.91,3.69,2.6469,4.1125,10.3990106,13.2382,12.55,2.2329,0.4742,0.2378,0.7414,0.0678,0,0,0.0184,0.0323,0.0006,3.8054,3961.5
3962,8.1747,50.4085,18.7608,0.6958,2.6181,2.9509,5.99,3.67,2.6473,4.3086,9.295830389,16.8017,15.8568,1.8299,0.7721,0.4105,0.7699,0.0633,0,0,0.0441,0.0406,0.0001,3.9305,3962
3962.5,8.172,43.0871,16.0812,0.5971,2.241,2.512,4.84,3.81,2.6448,4.4759,8.351872792,19.7578,18.5141,1.4583,1.1881,0.5154,0.7264,0.1227,0.0002,0.0001,0.0817,0.0481,0,4.141,3962.5
3963,8.1522,36.4635,13.6394,0.5091,1.8883,2.1193,4.55,4.23,2.6377,4.5254,7.324240283,22.3483,20.4791,1.191,1.4152,0.517,0.7113,0.2177,0.0006,0.0004,0.1165,0.0672,0.0001,4.237,3963
3963.5,8.128,32.4742,12.1464,0.4553,1.6725,1.8888,4.19,4.35,2.6356,4.5472,7.012579505,26.0374,24.1875,1.0149,1.511,0.5445,0.7922,0.2857,0.0035,0.0165,0.1454,0.0778,0.0002,4.3917,3963.5
