DEPT.F,GR son ,DTC .uspf ,PHISD,DEPT,NPHI,NPHD,DPHD,CALI,GR,GRTO,GRTC,POTA,URAN,THOR,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,CBW,BVI,FF,PHIe,PHItmri,PHIs,PHIr
4691.5,148.7055969,53.77880096,7.064468017,4691.5,5.1134,3.7869,4.7606,7.9497,68.003,49.1599,6.6631,0.2134,5.8296,1.1751,0.1315,0.4184,0.689,0.9499,0.9865,0.9582,0.9366,0.3865,0.1218,0.1259,0.7745,2.5831,3.4612,6.0442,6.8187,7.064468017,5.386669631
4692,104.8383026,53.97660065,7.200412816,4692,6.1054,4.764,7.9855,7.9588,58.2117,43.16,5.7124,0.1808,5.1434,1.0174,0.0289,0.2095,1.0135,1.8188,1.3884,1.3413,1.0466,0.5261,0.1562,0.1222,1.1511,3.8609,3.8978,7.7587,8.9098,7.200412816,5.803378062
4692.5,76.34300232,53.79169846,7.073332272,4692.5,8.0649,6.6846,14.3749,7.9422,52.5356,35.7366,4.6641,0.147,4.2754,0.8338,0.119,0.157,0.9522,2.42,1.8697,1.8449,1.0509,0.3951,0.2551,0.3185,1.6211,4.6779,4.8611,9.539,11.1601,7.073332272,6.148074148
4693,64.66840363,54.64799881,7.661854852,4693,10.4698,9.0254,20.4621,7.949,43.5041,28.369,3.7889,0.1162,3.3888,0.6925,0.7482,0.2718,0.5981,2.8741,2.8695,2.1498,1.1288,0.2108,0.4263,0.6246,2.1843,4.989,5.9882,10.9772,13.1616,7.661854852,6.474167105
4693.5,57.58200073,56.42309952,8.881855339,4693.5,11.2467,9.7779,21.479,7.9302,31.1316,22.4161,3.1373,0.0924,2.6637,0.5913,1.0464,0.3208,0.4311,2.937,3.372,1.989,1.1539,0.4093,0.5469,0.5947,2.5652,5.034,6.5483,11.5823,14.1475,8.881855339,6.832090039
4694,50.3348999,57.80690002,9.832920979,4694,10.9888,9.5284,16.5145,7.9652,25.3827,18.7912,2.8499,0.0797,2.2104,0.5576,1.0402,0.2662,0.3589,2.7154,3.5972,1.8523,0.8411,0.8462,0.8353,0.3146,2.6155,4.8001,6.6304,11.4305,14.046,9.832920979,7.01144326
4694.5,37.5760994,58.25320053,10.13965672,4694.5,9.3532,7.9408,12.5973,7.9851,24.311,21.7579,3.67,0.1003,2.5164,0.7287,0.8335,0.1584,0.3509,2.5113,3.32,1.7161,0.7258,1.0595,0.901,0.2123,2.2111,4.2475,6.3621,10.6096,12.8207,10.13965672,7.235182698
4695,27.68600082,56.81639862,9.152164,4695,7.8403,6.4651,13.008,8.0451,29.2568,31.7393,5.956,0.1606,3.594,1.193,0.2477,0.0316,0.4161,2.1507,2.2363,1.3009,1.0227,1.3333,0.6867,0.1333,1.6342,3.5742,5.7204,9.2946,10.9288,9.152164,7.195164318
4695.5,24.88559914,54.47529984,7.543161399,4695.5,6.4082,5.0617,12.9299,8.101,48.6087,42.8621,8.9382,0.237,4.7238,1.8098,0.0491,0.0104,0.3649,1.7857,1.6599,0.9779,1.1414,1.4953,0.5761,0.0582,1.3364,3.041,4.9868,8.0278,9.3643,7.543161399,7.204990086
4696,26.3845005,51.56570053,5.543436791,4696,5.0476,3.7221,10.6937,8.0944,69.4238,48.7429,10.9948,0.2906,5.2609,2.2307,0,0.0035,0.3717,1.3158,1.2411,0.7936,1.2464,1.5004,0.5002,0.035,1.2722,2.8082,4.5249,7.3331,8.6053,5.543436791,7.247380946
4696.5,37.9966011,48.86429977,3.686803969,4696.5,4.4954,3.1766,8.1432,8.0271,66.0909,44.7557,10.7754,0.2804,4.7386,2.2071,0.0012,0.0181,0.5104,1.1218,1.2569,1.2707,1.2349,1.1027,0.5871,0.1563,1.3686,2.9,4.7185,7.6185,8.9871,3.686803969,7.007757903
4697,61.95449829,47.21289825,2.551820106,4697,5.0715,3.7456,7.0411,8.0052,46.7206,35.3301,8.71,0.2308,3.7103,1.764,0.0403,0.0784,0.6805,1.0504,1.6467,2.3896,0.9393,0.3096,0.7481,0.5945,1.5514,3.1625,5.29,8.4524,10.0039,2.551820106,6.334666326
4697.5,70.895401,46.64149857,2.159105543,4697.5,5.9537,4.6148,8.8255,8.0359,34.9364,27.5817,6.9293,0.1876,2.8789,1.3845,0.1489,0.0587,0.6916,1.2316,1.8957,2.7988,0.7855,0.1387,0.7918,0.7457,1.687,3.4395,5.7104,9.1499,10.8369,2.159105543,5.955358171
4698,52.01029968,47.04779816,2.438349249,4698,6.4178,5.071,12.4254,8.0744,32.5201,24.6236,6.1051,0.164,2.5869,1.2259,0.4516,0.0396,0.5254,1.6239,2.2804,2.5477,0.6319,0.3912,0.8879,0.5608,1.8638,3.7139,5.7657,9.4796,11.3434,2.438349249,6.156383288
