DEPT.F,GR son ,DTC .uspf ,PHISD,DEPT,NPHI,NPHD,DPHD,CALI,GR,GRTO,GRTC,POTA,URAN,THOR,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,CBW,BVI,FF,PHIe,PHItmri,PHIs,PHIr
4162,46.65679932,82.71459961,26.95161485,4162,11.6394,10.1576,25.3423,7.9568,43.2721,31.3693,26.0921,1.1695,1.1388,3.0211,0.6208,1.5194,0.4935,0.8917,5.0395,4.336,0.9649,0.2309,0.0929,0.0565,2.1151,5.1533,8.2041,13.3574,15.4725,26.95161485,19.32163803
4162.5,44.72079849,80.25730133,25.26275006,4162.5,10.7674,9.3139,24.8825,7.9612,41.8625,31.8034,25.8415,1.1578,1.2329,2.9946,0.3543,1.4306,0.5052,0.7516,4.9854,4.9111,1.182,0.2463,0.1515,0.1625,0.8882,4.8172,9.3195,14.1367,15.0249,25.26275006,17.88564709
4163,41.58980179,76.3085022,22.54879876,4163,9.308,7.8968,21.5796,7.9145,44.9851,33.1797,25.8887,1.1571,1.4168,3.0133,0.2378,1.1447,0.6016,0.6897,3.8318,5.0402,1.9571,0.2505,0.1866,0.5208,0.3807,4.048,10.0753,14.1233,14.504,22.54879876,16.49369993
4163.5,42.02280045,72.27890015,19.77931282,4163.5,8.5058,7.1151,16.3799,7.8851,50.9063,32.6654,24.4791,1.0837,1.5236,2.8986,0.2181,0.9161,0.8828,0.6742,2.6764,4.8146,2.3605,0.3175,0.3813,0.7841,0.3328,3.0185,10.6041,13.6226,13.9554,19.77931282,15.46078758
4164,46.81669998,69.08860016,17.58666678,4164,9.4773,8.0615,12.9032,7.8346,45.2553,28.9767,20.8025,0.9003,1.4634,2.5612,0.3789,0.555,0.9367,0.6035,1.2361,3.9322,2.8399,0.8569,0.8773,0.9909,0.4632,1.8251,11.0198,12.8449,13.3081,17.58666678,14.57144117
4164.5,45.59339905,65.38469696,15.04102884,4164.5,11.1429,9.6775,12.4823,7.7887,29.7629,23.1,15.8812,0.6615,1.2576,2.0775,0.4722,0.476,0.544,0.4418,0.7516,3.1813,2.899,1.5642,1.3966,0.8948,0.6059,1.0169,11.1388,12.1557,12.7616,15.04102884,13.84906234
4165,33.30260086,61.99739838,12.71298857,4165,11.1017,9.6376,13.5111,7.8276,21.4753,17.6636,11.6956,0.4631,1.0171,1.6441,0.5542,0.4209,0.1397,0.1054,0.3293,2.3372,2.7605,2.9101,2.1309,0.5221,0.8264,0.5231,11.2263,11.7494,12.5757,12.71298857,13.64490397
4165.5,20.93190002,59.81809998,11.21518899,4165.5,11.0356,9.5736,14.4414,7.8167,21.3215,15.5401,9.8183,0.3681,0.9551,1.4782,0.7429,0.2231,0.0619,0.0213,0.1306,1.6393,3.0461,3.9497,2.2136,0.271,1.1572,0.2263,11.4965,11.7228,12.88,11.21518899,13.67574497
4166,16.58760071,58.79169846,10.50975839,4166,11.0426,9.5804,14.806,7.8264,23.4853,15.6333,9.2133,0.3373,1.0411,1.4258,0.5056,0.1277,0.3023,0.045,0.0302,0.688,3.5998,5.2875,1.8076,0.0792,1.3238,0.0967,11.9387,12.0354,13.3592,10.50975839,13.58217418
4166.5,19.87269974,58.35720062,10.21113445,4166.5,10.3661,8.9248,14.7891,7.863,24.831,16.3356,8.7597,0.3188,1.2046,1.3645,0.3025,0.1759,0.5855,0.0495,0.0083,0.2794,3.8423,6.0267,1.3668,0.0221,1.3004,0.0863,12.3422,12.4285,13.7289,10.21113445,13.73874468
4167,23.54490089,57.85079956,9.863092481,4167,10.289,8.85,14.7967,7.859,25.0823,16.1609,7.929,0.2829,1.2978,1.262,0.1548,0.2073,0.7938,0.0068,0.0002,0.1348,4.0942,6.1743,1.1857,0.0765,1.2171,0.0722,12.6486,12.7208,13.9379,9.863092481,14.0800457
4167.5,22.56649971,57.8470993,9.86054935,4167.5,11.0188,9.5573,15.0439,7.859,24.446,15.8816,7.2096,0.2522,1.3645,1.1717,0.0956,0.1631,0.8108,0.0015,0,0.3096,4.5444,5.3407,1.2748,0.3919,1.1033,0.0387,12.8803,12.919,14.0223,9.86054935,14.26273167
4168,19.93090057,58.69810104,10.44543027,4168,11.5955,10.1153,15.321,7.8854,22.8633,15.5901,6.7007,0.2286,1.3998,1.1162,0.0636,0.1335,0.8242,0.0038,0.0004,0.6144,5.0124,4.4509,1.1566,0.9037,0.9295,0.0205,13.1519,13.1724,14.102,10.44543027,14.24723186
4168.5,18.99830055,59.0345993,10.67670055,4168.5,12.7643,11.2429,15.8923,7.8776,22.3669,16.112,6.5648,0.2232,1.4993,1.0975,0.072,0.1248,0.7639,0.0071,0.0068,1.0938,5.1641,3.9237,1.1346,1.1206,0.7447,0.0468,13.3725,13.4192,14.1639,10.67670055,14.08793306
4169,19.47290039,59.42969894,10.9482467,4169,13.4375,11.8908,16.4393,7.8633,23.1705,16.6178,6.3932,0.2184,1.5931,1.0636,0.0619,0.1675,0.6504,0.0133,0.0558,1.922,4.9067,3.631,1.4146,0.8128,0.4699,0.151,13.3877,13.5387,14.0086,10.9482467,13.56654779
4169.5,21.38820076,59.42350006,10.9439863,4169.5,13.4503,11.903,15.5654,7.8896,25.1416,17.8181,6.5866,0.2292,1.7404,1.076,0.0521,0.2205,0.5097,0.0315,0.1775,2.157,4.7745,3.752,1.3938,0.4614,0.2878,0.3671,12.9534,13.3205,13.6083,10.9439863,12.64946276
4170,23.84300041,59.28219986,10.84687276,4170,11.7087,10.2246,13.9937,7.9381,27.3613,20.526,7.5318,0.2626,1.9968,1.2282,0.1387,0.2407,0.1097,0.1048,0.6421,2.011,4.5945,3.942,0.9962,0.083,0.3461,0.6883,11.9812,12.6695,13.0156,10.84687276,11.70788505
4170.5,25.31529999,59.11629868,10.73285132,4170.5,9.2119,7.8032,13.0183,7.9429,33.1275,27.9353,10.3662,0.3675,2.6865,1.6612,0.1916,0.1991,0.0202,0.2308,0.9308,1.7888,4.4464,3.6613,0.6953,0.0116,0.7016,1.0799,10.673,11.753,12.4545,10.73285132,10.97260609
4171,30.21660042,59.09149933,10.7158071,4171,8.6862,7.2911,12.1765,7.9365,50.3222,43.2279,16.3794,0.5932,4.1012,2.5653,0.1249,0.2278,0.1135,0.4602,1.0117,1.9316,3.5858,2.7062,0.5489,0.0231,1.2355,1.4821,9.1372,10.6193,11.8548,10.7158071,10.53006038
4171.5,44.67079926,59.11880112,10.73457121,4171.5,8.7659,7.3688,11.7136,7.9928,81.7425,61.4252,23.9794,0.8784,5.7274,3.7083,0.1111,0.451,0.3546,0.4191,0.8102,2.1761,2.8948,1.9384,0.5556,0.0997,1.5368,1.7079,7.8652,9.5731,11.11,10.73457121,10.25050049
4172,75.35870361,59.03099823,10.67422559,4172,9.386,7.9727,12.4156,7.9993,114.6661,70.6951,28.4285,1.0402,6.4906,4.4022,0.1978,0.592,0.8541,0.3334,0.4568,2.2036,2.2761,1.0817,0.5406,0.2477,1.7091,1.8154,6.8548,8.6702,10.3793,10.67422559,9.64204732
4172.5,113.0997009,58.69240189,10.44151332,4172.5,10.3306,8.8904,13.2579,7.9815,115.3237,64.5229,26.2709,0.9514,5.8845,4.1147,0.3755,0.6324,1.0541,0.3538,0.338,2.052,1.9854,0.8571,0.5302,0.3264,1.8064,1.8333,6.2825,8.1158,9.9222,10.44151332,8.676940725
4173,118.3889999,58.06689835,10.01161398,4173,8.5315,7.1402,12.1322,7.9725,77.6063,47.2438,19.212,0.6844,4.3184,3.0633,0.4784,0.5563,1.008,0.5253,0.5552,1.4455,1.612,1.2599,0.5624,0.202,1.6527,1.9397,5.7866,7.7263,9.3791,10.01161398,7.932255483
4173.5,84.13960266,57.33760071,9.510378493,4173.5,6.7125,5.3604,9.7093,7.9854,43.1954,31.3783,12.7235,0.4479,2.8717,2.0542,0.2489,0.3122,0.7729,0.7577,0.8158,1.0565,1.4634,1.5569,0.6083,0.1038,1.3449,2.0295,5.4028,7.4323,8.7772,9.510378493,7.647124813
4174,46.95819855,56.61159897,9.011408226,4174,6.1499,4.8078,8.7247,7.9705,34.2931,24.7741,9.9884,0.3499,2.2785,1.6206,0.0243,0.0475,0.3799,0.9503,0.9863,1.0604,1.3695,1.4067,0.7355,0.203,0.9364,1.9295,5.2761,7.2056,8.142,9.011408226,7.729548657
4174.5,33.10029984,56.09889984,8.659037692,4174.5,6.7388,5.3863,9.2616,7.9553,38.3345,27.8538,11.2598,0.3931,2.5623,1.8332,0.0038,0.0135,0.1866,0.8462,1.0769,1.332,1.3653,1.1239,0.7537,0.3407,0.6792,1.7263,5.3998,7.1261,7.8054,8.659037692,7.830606616
4175,36.12879944,55.56669998,8.293264592,4175,7.5164,6.1482,10.0233,7.9737,49.5216,36.7443,14.9143,0.5172,3.3828,2.445,0.0005,0.1835,0.4158,0.3861,1.1399,1.8942,1.0405,0.9511,0.8135,0.3215,0.566,1.5087,5.7008,7.2095,7.7755,8.293264592,7.817114317
4175.5,43.979599,54.88290024,7.823299133,4175.5,7.0234,5.6653,10.7317,7.9745,67.4187,43.3162,17.6253,0.6113,4.0003,2.8886,0.0017,0.4272,0.7788,0.1118,0.907,2.2877,0.9746,0.6633,0.6884,0.4958,0.6257,1.3973,5.9499,7.3472,7.9729,7.823299133,7.405516463
4176,61.18759918,53.97990036,7.20268066,4176,6.8883,5.5328,9.8259,7.9818,64.8563,43.7007,17.7361,0.618,4.0527,2.8932,0.0011,0.4782,1.3134,0.0746,0.3936,2.1787,1.4691,0.3747,0.3805,0.7022,0.9513,1.4218,5.9011,7.3228,8.2741,7.20268066,6.778830406
4176.5,71.45909882,53.87549973,7.130927646,4176.5,6.2471,4.9033,7.3396,7.9896,44.7666,38.9203,16.0442,0.5616,3.5859,2.6054,0.0003,0.3642,1.3668,0.2685,0.1785,1.7193,1.842,0.4916,0.323,0.5976,1.1468,1.5501,5.5051,7.0552,8.202,7.130927646,6.510874636
4177,58.79940033,53.50260162,6.874640291,4177,5.7133,4.3783,6.5449,7.9913,41.3504,31.8201,13.3261,0.471,2.8991,2.1426,0.0041,0.13,0.8073,0.9242,0.0918,0.7018,2.1768,1.296,0.2674,0.1852,1.0136,1.7352,4.9025,6.6377,7.6513,6.874640291,6.39626813
4177.5,47.08069992,52.9659996,6.505841652,4177.5,6.4117,5.0651,7.2505,7.9617,44.0109,27.2481,11.5871,0.4116,2.451,1.8528,0.0227,0.0524,0.549,1.1535,0.1588,0.2937,1.9814,1.817,0.2491,0.0268,0.7012,1.811,4.5222,6.3332,7.0344,6.505841652,6.04771841
4178,44.4109993,52.15010071,5.945086397,4178,6.4189,5.0721,7.4344,7.9571,36.3978,24.4572,10.585,0.3749,2.1591,1.698,0.0975,0.2009,0.5567,0.9647,0.231,0.2166,1.6135,1.9598,0.3846,0.0304,0.4301,1.7124,4.515,6.2274,6.6575,5.945086397,5.62334663
4178.5,36.3885994,52.15890121,5.951134855,4178.5,5.9243,4.5859,7.4293,7.978,29.345,20.6564,8.9772,0.3178,1.8108,1.4408,0.1697,0.3758,0.7361,0.7923,0.1878,0.2927,1.5943,1.6188,0.5165,0.1578,0.4848,1.4739,4.7981,6.2719,6.7568,5.951134855,5.343656644
4179,27.40369987,52.01710129,5.853677861,4179,5.7349,4.3995,7.4828,7.9828,26.9067,17.8998,7.9181,0.2812,1.5482,1.2665,0.2655,0.5749,0.6857,0.5601,0.2767,0.5742,1.5154,1.1187,0.6316,0.3333,0.7164,1.1696,5.0811,6.2507,6.9671,5.853677861,5.154661042
4179.5,24.60409927,51.68700027,5.626804312,4179.5,5.4972,4.1654,7.1829,7.973,24.9224,17.5918,7.889,0.2814,1.5133,1.2563,0.2982,0.5971,0.4397,0.4208,0.4913,0.7733,1.4313,0.9562,0.6064,0.4296,0.8785,0.8772,5.3322,6.2094,7.0879,5.626804312,5.060774622
4180,23.42499924,51.44800186,5.462544235,4180,5.7552,4.4194,6.3609,7.9667,24.5379,18.7652,8.5096,0.3051,1.616,1.3477,0.2742,0.4865,0.4367,0.1374,0.7094,1.2563,1.2186,0.6711,0.7308,0.6696,0.724,0.5603,5.8344,6.3947,7.1188,5.462544235,5.109838287
4180.5,22.49150085,51.24369812,5.322129292,4180.5,6.2468,4.903,5.9667,7.9691,30.4273,20.9532,9.6993,0.3444,1.7949,1.5516,0.1791,0.2861,0.5626,0.0799,0.6329,1.3679,1.2479,0.8952,0.937,0.6354,0.3953,0.3731,6.4799,6.853,7.2483,5.322129292,5.109283378
4181,26.13209915,51.17860031,5.27738853,4181,7.5994,6.2295,7.0588,7.9536,37.3284,21.5579,10.001,0.3473,1.852,1.6373,0.0935,0.2314,0.6527,0.1231,0.3679,1.0829,1.7157,1.6257,1.1445,0.5959,0.1688,0.4028,7.1175,7.5203,7.6891,5.27738853,4.91168286
4181.5,33.75389862,51.30849838,5.366665555,4181.5,9.6628,8.2419,9.1636,7.9636,31.6638,19.147,8.7777,0.2995,1.6643,1.4623,0.0649,0.2937,0.5657,0.1172,0.2036,0.83,2.024,2.2237,1.2584,0.4946,0.0853,0.5479,7.4522,8,8.0853,5.366665555,4.66130634
4182,33.38169861,51.3030014,5.362887563,4182,10.2296,8.7924,10.4379,7.9853,19.8477,15.7107,6.9449,0.2346,1.3928,1.168,0.0309,0.3987,0.3075,0.0587,0.0693,0.5483,2.4104,2.6076,1.2962,0.5292,0.0512,0.658,7.5051,8.1631,8.2143,5.362887563,4.441027102
4182.5,22.26250076,51.04430008,5.185085965,4182.5,9.0136,7.6101,9.6004,7.9915,15.5134,13.5554,5.7451,0.1958,1.23,0.9579,0.0318,0.4618,0.233,0.0388,0.0208,0.4882,2.4868,2.3527,1.2906,0.747,0.0478,0.6652,7.281,7.9462,7.9939,5.185085965,4.353630641
4183,15.97140026,50.63439941,4.903367295,4183,6.8361,5.4817,7.3727,7.9721,19.7613,16.4353,6.8037,0.237,1.5096,1.1101,0.0305,0.2399,0.2323,0.1593,0.0363,0.6086,2.131,1.7041,1.3192,0.9546,0.0665,0.6486,6.6993,7.3479,7.4144,4.903367295,4.462088903
4183.5,19.7602005,50.55009842,4.845428467,4183.5,5.6714,4.337,5.834,7.96,31.0585,23.2815,9.5985,0.3407,2.1391,1.5362,0.033,0.0842,0.2813,0.2817,0.0822,0.7312,1.7585,1.2851,1.2979,0.9313,0.1767,0.6816,5.9091,6.5908,6.7675,4.845428467,4.54093655
4184,31.45569992,50.82550049,5.034708239,4184,5.9463,4.6076,6.1515,7.9427,47.6501,31.6408,13.1888,0.4738,2.8829,2.0839,0.0188,0.0193,0.1802,0.4939,0.3215,0.6752,1.3147,0.9599,1.0919,0.689,0.5239,0.7091,5.0811,5.7902,6.3141,5.034708239,4.582175376
4184.5,47.34379959,50.99950027,5.154295721,4184.5,6.285,4.9406,6.406,7.9437,60.1967,35.3436,14.7501,0.5382,3.22,2.2914,0.0144,0.0089,0.1485,0.5774,0.502,0.5093,1.2333,0.8066,0.8378,0.5905,1.0635,0.6063,4.5523,5.1586,6.2222,5.154295721,4.580545388
4185,59.73870087,50.99489975,5.151133849,4185,5.9843,4.6449,5.4695,7.9434,55.3649,32.2577,13.4954,0.5038,2.9403,2.0424,0.0495,0.0039,0.0715,0.6967,0.5739,0.369,1.272,0.568,0.4279,0.5999,1.5926,0.4586,4.1908,4.6494,6.242,5.151133849,4.351620812
4185.5,57.70690155,50.72880173,4.96824861,4185.5,4.8406,3.5177,4.4535,7.9544,38.0528,25.1813,10.4987,0.3993,2.3078,1.5536,0.0614,0.0049,0.1247,0.7587,0.3747,0.5231,1.3032,0.4443,0.2205,0.5857,1.9242,0.4126,3.9573,4.3699,6.2941,4.96824861,4.326816071
4186,37.9966011,50.06389999,4.511271473,4186,4.1849,2.8694,4.1285,7.9534,27.1859,18.9495,7.9317,0.3035,1.7444,1.1652,0.0307,0.0198,0.3148,0.5998,0.1837,1.0604,1.1143,0.216,0.1728,0.5202,1.9781,0.4418,3.8001,4.2419,6.22,4.511271473,4.600445049
4186.5,22.45820045,49.71369934,4.270583739,4186.5,4.7557,3.4338,4.8237,7.9428,25.8182,17.5315,7.3684,0.2838,1.6153,1.0736,0.0877,0.0902,0.4413,0.4051,0.1561,1.2993,1.0856,0.1206,0.1411,0.4722,1.7151,0.5099,3.6949,4.2048,5.9199,4.270583739,4.873543084
4187,22.95949936,49.91230011,4.407079113,4187,5.3067,3.9776,6.0204,7.9548,29.9727,21.1564,8.9621,0.3456,1.9346,1.304,0.5091,0.2181,0.2687,0.2565,0.3708,1.3951,0.9686,0.166,0.1549,0.3472,1.397,0.5892,3.5744,4.1636,5.5606,4.407079113,5.098809008
4187.5,27.39699936,50.40420151,4.745155675,4187.5,5.6533,4.3191,7.423,7.9508,38.9202,24.969,10.6752,0.4084,2.2673,1.5689,0.7446,0.2373,0.1064,0.4521,0.4869,1.0567,1.1299,0.3001,0.1324,0.2513,1.1013,0.7488,3.4787,4.2275,5.3288,4.745155675,5.342836152
4188,34.12279892,50.9734993,5.136425634,4188,6.1029,4.7616,8.1584,7.945,42.1865,25.7107,11.1989,0.4305,2.3049,1.6359,0.5569,0.276,0.0985,0.7877,0.5667,0.5274,1.6169,0.4747,0.0576,0.0867,0.7954,0.9811,3.5146,4.4957,5.2911,5.136425634,5.306085667
4188.5,43.79140091,51.47129822,5.478555476,4188.5,6.1823,4.8396,7.3094,7.9512,31.5341,23.3072,10.2075,0.3966,2.0896,1.4711,0.3385,0.3916,0.1931,0.7541,0.7865,0.4125,1.6309,0.5985,0.0374,0.0187,0.7423,1.0874,3.7136,4.801,5.5433,5.478555476,5.345560515
4189,40.62379837,51.6371994,5.592576908,4189,5.8137,4.4771,6.3051,7.9541,21.6651,20.2934,8.9576,0.3526,1.8207,1.269,0.2204,0.2257,0.3912,0.7272,0.8808,0.6565,1.3948,0.6116,0.0523,0.0317,1.1408,1.1084,3.899,5.0074,6.1482,5.592576908,5.594631815
4189.5,29.2656002,51.41889954,5.442542637,4189.5,5.6017,4.2683,5.9758,7.9525,23.9571,20.1273,8.8609,0.3537,1.8135,1.2322,0.17,0.102,0.7148,0.7142,0.6708,0.8818,1.2979,0.6178,0.0812,0.0327,1.563,1.2561,3.9729,5.229,6.792,5.442542637,5.909900637
4190,28.88260078,51.30160141,5.361925368,4190,5.8424,4.5053,5.9702,7.9584,34.3354,23.0059,10.1393,0.4065,2.0662,1.4015,0.1218,0.0607,1.1169,1.0019,0.2338,0.8032,1.4863,0.6834,0.1251,0.0066,1.774,1.4385,4.1089,5.5474,7.3215,5.361925368,6.018390591
4190.5,35.14039993,51.16600037,5.268728774,4190.5,6.0754,4.7346,6.2778,7.9778,41.486,24.3196,10.6048,0.4289,2.1895,1.4484,0.2089,0.0679,1.1284,1.2818,0.0699,0.6105,1.6849,0.725,0.2077,0.0113,1.6339,1.4357,4.3995,5.8352,7.469,5.268728774,5.765953153
4191,39.70370102,50.92259979,5.101443156,4191,6.1067,4.7654,6.4179,7.9643,35.9824,21.557,9.4427,0.3891,1.9209,1.2552,0.5643,0.2929,0.821,1.4068,0.0873,0.4441,1.7004,0.9119,0.37,0.0383,1.2028,1.2724,4.8004,6.0728,7.2756,5.101443156,5.562491256
4191.5,37.9632988,51.00590134,5.158695077,4191.5,5.7747,4.4387,6.3934,7.9533,23.6919,16.9339,7.3961,0.31,1.51,0.9583,0.5875,0.4004,0.6531,1.2742,0.1046,0.4944,1.7092,0.9857,0.5233,0.1053,0.8922,1.0974,5.1957,6.2931,7.1853,5.158695077,5.627947447
4192,26.24290085,51.44789886,5.462473447,4192,5.5316,4.1992,6.7057,7.9518,16.0817,12.6434,5.6549,0.2354,1.1152,0.7403,0.2546,0.3025,0.6602,0.8627,0.0541,0.5435,2.0519,1.1955,0.6382,0.2411,0.8231,0.9861,5.579,6.565,7.3881,5.462473447,5.985919845
4192.5,16.71249962,51.63729858,5.592645075,4192.5,6.0406,4.7003,7.3208,7.9753,14.5579,11.0123,5.2522,0.2123,0.9347,0.7176,0.1083,0.3038,0.6826,0.5351,0.0188,0.5183,2.4201,1.4108,0.6279,0.2713,1.0663,0.886,5.915,6.801,7.8673,5.592645075,6.293221164
4193,16.22870064,52.12639999,5.928797247,4193,6.2982,4.9536,7.7614,7.9701,14.9201,11.4039,5.7917,0.2256,0.9338,0.8317,0.0248,0.1032,0.5021,0.452,0.0042,0.4092,2.934,1.7941,0.5061,0.1922,1.2836,0.8059,6.1387,6.9446,8.2283,5.928797247,6.543115193
4193.5,18.04570007,52.8227005,6.407354296,4193.5,6.1476,4.8056,7.7539,7.9374,17.031,13.0921,7.1695,0.2725,1.008,1.0621,0.0035,0.0233,0.4078,0.5158,0.0103,0.4689,3.1548,1.7646,0.4395,0.2001,1.0404,0.7721,6.3034,7.0755,8.1159,6.407354296,6.757716121
4194,18.16230011,53.35240173,6.771410126,4194,6.3966,5.0503,7.8871,7.9818,21.8462,14.6108,8.4156,0.3161,1.0709,1.2645,0,0.0137,0.3671,0.6367,0.0248,0.697,3.3042,1.6003,0.3393,0.2322,0.4972,0.7776,6.4589,7.2365,7.7337,6.771410126,7.03254432
4194.5,20.79780006,53.42250061,6.819588048,4194.5,6.7268,5.3744,8.6678,7.9947,24.0071,14.5651,8.6464,0.321,1.0323,1.3173,0,0.01,0.402,0.5193,0.0251,0.9864,3.3557,1.3363,0.2513,0.3877,0.1433,0.7421,6.632,7.3741,7.5174,6.819588048,7.271692076
4195,23.8871994,53.2743988,6.717799865,4195,7.6583,6.2871,9.5571,7.9713,19.9663,13.6494,8.2807,0.3014,0.9398,1.2902,0.009,0.0987,0.612,0.3131,0.0214,1.2269,3.3804,1.196,0.2307,0.4712,0.0557,0.6604,6.9589,7.6192,7.6749,6.717799865,7.370881984
4195.5,20.73699951,53.14360046,6.627904099,4195.5,8.029,6.6495,9.8896,7.976,15.4664,12.124,7.5416,0.2657,0.8033,1.2167,0.0322,0.2636,0.8247,0.1404,0.0072,1.2215,3.5297,1.2719,0.2132,0.396,0.196,0.6176,7.2836,7.9011,8.0972,6.627904099,7.293298238
4196,15.53759956,53.09669876,6.595669252,4196,7.6095,6.2394,9.6346,8.0009,13.7521,11.4099,7.2199,0.2523,0.7317,1.1744,0.1064,0.3268,0.9423,0.0736,0.0057,1.2892,3.6473,1.3449,0.12,0.3083,0.603,0.5336,7.4984,8.032,8.635,6.595669252,7.372187926
4196.5,13.31089973,53.10559845,6.601785876,4196.5,7.0593,5.7005,8.6628,8.0002,13.4458,11.812,7.6344,0.268,0.7251,1.2362,0.1968,0.2366,0.9364,0.0906,0.0295,1.5372,3.4383,1.3373,0.1436,0.2305,1.0641,0.3494,7.6148,7.9642,9.0282,6.601785876,7.526110933
4197,14.70569992,53.15930176,6.638695366,4197,6.4999,5.1517,7.7362,7.9994,15.6306,12.06,7.8709,0.2851,0.7211,1.233,0.2325,0.1821,0.8794,0.0575,0.1668,2.0611,2.7914,1.2358,0.3239,0.1047,1.2174,0.2342,7.5595,7.7937,9.011,6.638695366,7.648609977
4197.5,17.18969917,53.63050079,6.962543501,4197.5,6.4095,5.0629,8.4809,7.9783,18.5129,12.8231,8.3875,0.3148,0.762,1.2614,0.2556,0.1676,0.7502,0.074,0.3429,2.1269,2.4805,1.2358,0.3556,0.0461,1.1174,0.3418,7.2184,7.5602,8.6776,6.962543501,7.785018462
4198,17.50359917,53.69589996,7.007491384,4198,7.064,5.7051,9.84,8.0048,19.8113,14.7033,9.6729,0.3736,0.863,1.4049,0.2424,0.1696,0.5572,0.4643,0.4666,1.684,2.5464,1.2247,0.1794,0.0121,1.0869,0.7439,6.6141,7.358,8.4449,7.007491384,7.814764473
4198.5,17.84499931,53.93619919,7.17264549,4198.5,7.5129,6.1448,9.8944,8.0131,22.1999,16.3993,10.7885,0.4255,0.9626,1.5254,0.1204,0.1206,0.387,1.0607,0.4471,1.2599,2.6805,1.1787,0.0876,0.0112,1.134,1.1902,6.0954,7.2856,8.4196,7.17264549,7.847075445
4199,19.07740021,53.99810028,7.215189196,4199,7.3904,6.0249,9.0327,8.0086,26.0208,17.5796,11.5685,0.4619,1.0227,1.6087,0.0089,0.0138,0.3814,1.6542,0.2956,1.0338,2.6538,0.9488,0.1305,0.1435,1.0365,1.3138,6.044,7.3577,8.3942,7.215189196,7.779961995
4199.5,24.04870033,53.64730072,6.974089842,4199.5,7.3447,5.9801,8.3293,7.9916,24.9723,16.4959,10.8537,0.4328,0.957,1.5118,0,0.0026,0.698,1.6891,0.1647,1.0449,2.5117,0.8594,0.2591,0.2587,0.6585,1.128,6.4661,7.5941,8.2526,6.974089842,7.456526011
4200,28.77020073,53.52619934,6.890858653,4200,7.3502,5.9856,8.5683,7.9791,18.9934,13.7054,9.1503,0.3647,0.7747,1.2754,0.0011,0.0455,1.113,1.2913,0.1416,1.2083,2.0911,0.9384,0.5837,0.4204,0.2349,0.9574,6.9238,7.8812,8.1161,6.890858653,7.225656222
4200.5,23.77389908,53.90179825,7.149002233,4200.5,7.8526,6.4772,9.2129,7.9595,15.07,10.7609,7.3463,0.2915,0.584,1.0301,0.0076,0.1359,1.3226,0.8403,0.1344,1.4178,2.0192,0.7043,0.705,0.7864,0.065,0.8983,7.2263,8.1246,8.1896,7.149002233,7.374623542
4201,16.94149971,54.47460175,7.542681612,4201,8.2676,6.8826,9.4177,7.9592,14.2768,9.3585,6.4568,0.2557,0.5008,0.9081,0.0219,0.2331,1.2727,0.495,0.098,1.497,2.2439,0.4858,0.7435,1.2098,0.0562,0.8957,7.3675,8.2631,8.3193,7.542681612,7.705162833
4201.5,13.9520998,55.27859879,8.095256897,4201.5,7.8968,6.5204,9.1336,7.9607,14.8776,10.662,7.35,0.2903,0.5748,1.0373,0.0395,0.249,1.0203,0.4459,0.112,1.597,2.3468,0.4102,0.6575,1.4022,0.1688,0.9185,7.3187,8.2372,8.406,8.095256897,8.016367821
4202,14.02789974,56.30820084,8.802887173,4202,7.7835,6.4096,8.4013,7.9641,19.2573,15.8826,10.8473,0.4305,0.869,1.5208,0.0758,0.3969,0.7873,0.2188,0.1845,1.9717,2.4066,0.3676,0.4034,1.3985,0.4489,0.9763,7.1539,8.1302,8.5791,8.802887173,8.321455356
4202.5,17.84079933,57.01210022,9.286666818,4202.5,7.6408,6.27,8.0928,7.9773,30.1052,21.2904,14.1123,0.5706,1.2163,1.9287,0.0864,0.4507,0.6932,0.1497,0.3802,2.2029,2.2385,0.42,0.2794,1.1741,0.7353,1.1025,6.8805,7.983,8.7183,9.286666818,8.567616417
4203,26.92239952,57.08399963,9.336082223,4203,8.4398,7.0507,8.6218,7.9967,38.9566,24.0035,15.3059,0.6331,1.4338,2.0245,0.0404,0.2832,0.7238,0.2999,0.6768,2.5251,1.8145,0.3222,0.2003,0.9728,0.7343,1.2687,6.6251,7.8938,8.6281,9.336082223,8.293907853
4203.5,36.34370041,56.98199844,9.265978312,4203.5,8.2676,6.8826,8.9563,7.9942,33.8622,22.2234,13.6231,0.5762,1.3919,1.7415,0.0448,0.2583,0.8182,0.4783,0.662,2.5899,1.7009,0.3014,0.2485,0.835,0.5576,1.4431,6.4865,7.9297,8.4873,9.265978312,7.772777125
4204,34.19779968,56.62009811,9.017249563,4204,8.0981,6.7171,8.788,7.9856,22.5144,17.3383,10.1687,0.4359,1.1496,1.2724,0.0536,0.09,0.5333,0.9354,0.8464,1.9857,1.8198,0.7516,0.5046,0.4542,0.4186,1.5581,6.4479,8.006,8.4246,9.017249563,7.563740746
4204.5,22.72470093,55.57509995,8.299037763,4204.5,8.4247,7.036,8.8538,7.9716,16.8374,13.2373,7.533,0.329,0.9119,0.9137,0.0589,0.041,0.3059,1.0877,0.9129,1.4746,2.1155,1.2324,0.6068,0.2734,0.2301,1.4617,6.7374,8.1991,8.4292,8.299037763,7.775075966
